rank,bgg_url,game_id,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
"		3788							",https://boardgamegeek.com/boardgame/65272/cyrano,65272,4,9,45,45,45,2010,6.72471,5.70123,174,//cf.geekdo-images.com/images/pic663457.jpg,8,Simultaneous Action Selection* Storytelling* Voting,365,Party Game* Word Game,1.2857
"		3801							",https://boardgamegeek.com/boardgame/106753/ooga-booga,106753,3,6,10,10,10,2011,6.08785,5.70103,478,//cf.geekdo-images.com/images/pic1686960.jpg,7,Acting* Memory,704,Card Game* Humor* Memory* Party Game* Prehistoric,1.0303
"		3771							",https://boardgamegeek.com/boardgame/27306/venedig,27306,2,5,60,45,60,2007,6.26942,5.70097,325,//cf.geekdo-images.com/images/pic174975.jpg,10,Card Drafting* Hand Management,385,City Building,2.0789
"		3832							",https://boardgamegeek.com/boardgame/55679/panzer-general-allied-assault,55679,1,2,60,60,60,2010,6.44924,5.70092,331,//cf.geekdo-images.com/images/pic552594.jpg,10,Area Movement* Campaign / Battle Card Driven* Modular Board* Variable Phase Order,857,Wargame* World War II,2.449
"		3791							",https://boardgamegeek.com/boardgame/176/give-me-brain,176,3,8,30,30,30,1996,5.84941,5.70086,1913,//cf.geekdo-images.com/images/pic2446093.jpg,10,Action Point Allowance System* Auction/Bidding* Hand Management,3049,Card Game* Zombies,1.2857
"		3759							",https://boardgamegeek.com/boardgame/8069/clue-fx,8069,2,4,30,30,30,2003,6.15477,5.70083,510,//cf.geekdo-images.com/images/pic238451.jpg,8,Hand Management* Paper-and-Pencil,1141,Bluffing* Deduction* Electronic* Murder/Mystery,1.8103
"		3764							",https://boardgamegeek.com/boardgame/14039/flix-mix,14039,2,4,20,20,20,2004,6.25847,5.70074,304,//cf.geekdo-images.com/images/pic59508.jpg,6,Pattern Recognition* Tile Placement,395,Card Game* Real-time,1.12
"		3772							",https://boardgamegeek.com/boardgame/35476/barbarossa-crimea,35476,2,2,240,240,240,2010,7.92609,5.70072,92,//cf.geekdo-images.com/images/pic884321.jpg,0,Dice Rolling* Hex-and-Counter,600,Wargame* World War II,4.125
"		3773							",https://boardgamegeek.com/boardgame/147104/wooolf,147104,4,8,30,30,30,2013,6.71262,5.70069,202,//cf.geekdo-images.com/images/pic1851163.jpg,8,Action Point Allowance System* Betting/Wagering* Role Playing* Variable Player Powers,266,Animals* Bluffing* Card Game* Deduction* Party Game,1.9524
"		3783							",https://boardgamegeek.com/boardgame/121615/shadows-over-empire,121615,2,4,30,30,30,2013,6.07096,5.70065,506,//cf.geekdo-images.com/images/pic1801604.jpg,12,Area Control / Area Influence* Modular Board,1124,Card Game* Medieval,2.8095
