,min_players,max_players,avg_time,min_time,max_time,age,weight,geek_quantiles,Action Point Allowance System,Co-operative Play,Hand Management,Point to Point Movement,Set Collection,Trading,Variable Player Powers,Auction/Bidding,Card Drafting,Area Control / Area Influence,Campaign / Battle Card Driven,Dice Rolling,Simultaneous Action Selection,Route/Network Building,Variable Phase Order,Area Movement,Grid Movement,Worker Placement,Tile Placement,Deck / Pool Building,Modular Board,Role Playing,Memory,Partnerships,Player Elimination,Action / Movement Programming,Pick-up and Deliver,Secret Unit Deployment,Pattern Recognition,Press Your Luck,Storytelling,Time Track,Voting,Area-Impulse,Hex-and-Counter,Take That,Area Enclosure,Pattern Building,Stock Holding,Commodity Speculation,Simulation,Betting/Wagering,Trick-taking,Rock-Paper-Scissors,Line Drawing,Roll / Spin and Move,Paper-and-Pencil,Acting,Singing,Chit-Pull System,none,Crayon Rail System
34,1,2,120,60,120,14,3.0252,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,4,150,75,150,12,3.7341,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,4,100,40,100,12,3.1784,4,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,5,150,60,150,12,3.8218,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,6,90,90,90,13,2.951,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,5,210,45,210,14,2.9989999999999997,4,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,8,240,120,240,14,3.3091,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,6,300,180,300,12,4.2241,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,2,30,15,30,8,1.7152,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,6,240,120,240,14,4.0285,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
